0,1,2,3,4,5,6,7,8,9,10,11,12,Label
-383.43262,52.460808,-17.608944,-11.81031,-4.7076297,7.5138917,-25.082636,-6.9484596,-10.093306,-3.2549365,0.28103775,0.6566968,2.047499,OAF_angry
-444.55008,65.29204,-2.571654,-20.355955,-10.516433,10.241208,-9.607938,-1.3553091,-12.456924,2.8278718,-9.535598,9.995903,-0.7910773,OAF_angry
-402.1927,26.256584,-5.02363,-0.40751937,-0.9522237,0.9130459,-19.256067,-2.4602306,-13.16589,-1.0565398,-12.630615,7.668492,-0.7637195,OAF_angry
-383.49704,52.38679,-11.534899,-13.97594,-3.9067535,6.8141117,-21.693228,-7.6809745,-13.304782,-3.1693301,-1.6435298,1.388642,0.6037461,OAF_angry
-398.56268,51.87644,3.3703017,8.665921,3.8809924,0.7320453,-24.158323,7.4863,-19.511465,-12.444626,-11.40149,-1.8055325,-4.8490553,OAF_angry
-426.49225,48.658615,-5.1625366,-1.2051712,6.4772143,3.146611,-26.088898,-3.3816504,-10.431431,-4.4921627,-10.119594,9.477036,0.95131075,OAF_angry
-394.1027,52.584747,-12.002746,-1.386606,-5.063762,-1.3075964,-23.385843,1.40992,-13.218601,-0.8935086,-11.815134,6.376925,-5.4786277,OAF_angry
-428.89124,72.861626,8.579586,-8.18933,-9.7703285,0.61406696,-16.93771,0.88863564,-18.803368,-6.281438,-10.232633,0.41396806,-2.4232147,OAF_angry
-390.20944,60.07312,18.27378,-0.74524254,-17.144344,-2.9954176,-11.515591,1.916242,-20.3504,1.2991242,-13.951015,1.3853326,-2.9388225,OAF_angry
-401.83093,44.44039,-5.8984413,-14.426594,-9.032794,6.748323,-17.64003,-3.4502053,-17.850767,-4.889634,-8.461315,11.231445,1.8565028,OAF_angry
-370.15027,48.95897,-11.278447,-20.206036,-11.152035,1.9179662,-18.43973,4.4482636,-16.986956,-1.3229368,-10.120736,9.553166,-3.7290514,OAF_angry
